#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692092160000000000,63.8
,ExposedTemp,1692092280000000000,63.7
,ExposedTemp,1692092400000000000,63.6
,ExposedTemp,1692092520000000000,63.5
,ExposedTemp,1692092640000000000,63.5
,ExposedTemp,1692092760000000000,63.4
,ExposedTemp,1692092880000000000,63.6
,ExposedTemp,1692093000000000000,63.7
,ExposedTemp,1692093120000000000,63.8
,ExposedTemp,1692093240000000000,63.9
,ExposedTemp,1692093360000000000,64.2
,ExposedTemp,1692093480000000000,64.3
,ExposedTemp,1692093600000000000,64.5
,ExposedTemp,1692093720000000000,64.5
,ExposedTemp,1692093840000000000,64.5
,ExposedTemp,1692093960000000000,64.6
,ExposedTemp,1692094080000000000,64.6
,ExposedTemp,1692094200000000000,64.6
,ExposedTemp,1692094320000000000,64.7
,ExposedTemp,1692094440000000000,64.7
,ExposedTemp,1692094560000000000,64.9
,ExposedTemp,1692094680000000000,65
,ExposedTemp,1692094800000000000,65.1
,ExposedTemp,1692094920000000000,65.2
,ExposedTemp,1692095040000000000,65.4
,ExposedTemp,1692095160000000000,65.4
,ExposedTemp,1692095280000000000,65.5
,ExposedTemp,1692095400000000000,65.6
,ExposedTemp,1692095520000000000,65.8
,ExposedTemp,1692095640000000000,66
,ExposedTemp,1692095760000000000,66.1
,ExposedTemp,1692095880000000000,66.1
,ExposedTemp,1692096000000000000,66.1
,ExposedTemp,1692096120000000000,66
,ExposedTemp,1692096240000000000,66
,ExposedTemp,1692096360000000000,66.2
,ExposedTemp,1692096480000000000,66.5
,ExposedTemp,1692096600000000000,66.6
,ExposedTemp,1692096720000000000,66.8
,ExposedTemp,1692096840000000000,66.8
,ExposedTemp,1692096960000000000,66.9
,ExposedTemp,1692097080000000000,66.8
,ExposedTemp,1692097200000000000,66.7
,ExposedTemp,1692097320000000000,66.8
,ExposedTemp,1692097440000000000,66.7
,ExposedTemp,1692097560000000000,66.5
,ExposedTemp,1692097680000000000,66.5
,ExposedTemp,1692097800000000000,66.5
,ExposedTemp,1692097920000000000,66.7
,ExposedTemp,1692098040000000000,66.8
,ExposedTemp,1692098160000000000,66.8
,ExposedTemp,1692098280000000000,66.8
,ExposedTemp,1692098400000000000,66.9
,ExposedTemp,1692098520000000000,67
,ExposedTemp,1692098640000000000,66.9
,ExposedTemp,1692098760000000000,66.8
,ExposedTemp,1692098880000000000,66.8
,ExposedTemp,1692099000000000000,66.8
,ExposedTemp,1692099120000000000,66.9
,ExposedTemp,1692099240000000000,67
,ExposedTemp,1692099360000000000,66.8
,ExposedTemp,1692099480000000000,66.8
,ExposedTemp,1692099600000000000,66.8
,ExposedTemp,1692099720000000000,66.8
,ExposedTemp,1692099840000000000,66.8
,ExposedTemp,1692099960000000000,66.9
,ExposedTemp,1692100080000000000,66.9
,ExposedTemp,1692100200000000000,67.1
,ExposedTemp,1692100320000000000,67
,ExposedTemp,1692100440000000000,67.1
,ExposedTemp,1692100560000000000,67.1
,ExposedTemp,1692100680000000000,67.2
,ExposedTemp,1692100800000000000,67.3
,ExposedTemp,1692100920000000000,67.2
,ExposedTemp,1692101040000000000,67.3
,ExposedTemp,1692101160000000000,67.5
,ExposedTemp,1692101280000000000,67.6
,ExposedTemp,1692101400000000000,67.7
,ExposedTemp,1692101520000000000,67.8
,ExposedTemp,1692101640000000000,67.7
,ExposedTemp,1692101760000000000,67.7
,ExposedTemp,1692101880000000000,67.9
,ExposedTemp,1692102000000000000,67.8
,ExposedTemp,1692102120000000000,68
,ExposedTemp,1692102240000000000,68.3
,ExposedTemp,1692102360000000000,68.3
,ExposedTemp,1692102480000000000,68.4
,ExposedTemp,1692102600000000000,68.4
,ExposedTemp,1692102720000000000,68.5
,ExposedTemp,1692102840000000000,68.4
,ExposedTemp,1692102960000000000,68.4
,ExposedTemp,1692103080000000000,68.5
,ExposedTemp,1692103200000000000,68.4
,ExposedTemp,1692103320000000000,68.6
,ExposedTemp,1692103440000000000,69
,ExposedTemp,1692103560000000000,68.6
,ExposedTemp,1692103680000000000,68.8
,ExposedTemp,1692103800000000000,68.8
,ExposedTemp,1692103920000000000,68.8
,ExposedTemp,1692104040000000000,68.9
,ExposedTemp,1692104160000000000,68.9
,ExposedTemp,1692104280000000000,69.1
,ExposedTemp,1692104400000000000,69.2
,ExposedTemp,1692104520000000000,69.4
,ExposedTemp,1692104640000000000,69.5
,ExposedTemp,1692104760000000000,69.5
,ExposedTemp,1692104880000000000,69.6
,ExposedTemp,1692105000000000000,69.5
,ExposedTemp,1692105120000000000,69.4
,ExposedTemp,1692105240000000000,69.7
,ExposedTemp,1692105360000000000,69.6
,ExposedTemp,1692105480000000000,70.2
,ExposedTemp,1692105600000000000,70.2
,ExposedTemp,1692105720000000000,69.9
,ExposedTemp,1692105840000000000,70.1
,ExposedTemp,1692105960000000000,70.1
